,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,Procurement Tracking Number
1614,DOT,,,,"Restructuring advisory services in the infrastructure finance area to support the activities of the Build America Bureau. These services relate to the restructuring of distressed subordinated and senior debt, as well as equity/capital structures of distressed project companies.",541611,,,Full and Open,3rd QTR,,2018-205
1646,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"US Department of Transportation multiple award Blanket Purchase Agreement (BPA) for Program support in a number of activities to include the coordination and management of its finance, accounting, budget,  contract  auditing, performance and administration, programs and activities.
 
Activities may include, but are not limited to: accounting advisory services; assistance with the analysis, interpretation and implementation of transportation legislation and Office of Management and Budget administrative guidance for credit reform, budget formulation and execution, internal controls, and managerial cost accounting; analysis of business processes and practices to maximize efficiencies; analysis of Highway Trust Fund apportionment factors; preparation and analysis of budgetary and financial statements and reports; conducting research and analysis of subsidiary transaction ledgers and databases, general ledger accounts, and supporting grants management and data systems; providing technical training; developing and maintaining auditable financial records and supporting reports for outstanding guaranteed loans; preparing budget schedules and requests, developing multimedia presentations, and providing program management for specific system development and improvement projects. In the course of supporting the above activities, the Contractor may analyze technical and programmatic issues and provide advice and recommendations to the Government.  All decision-making and program management authority remains with the Government.",541219,,,To be determined,3rd QTR,,2016-171
1658,DOT,FTA - Washington DC Office,,,"Drug and Alcohol Clandestine Reviews and Inspection Program  FTA is seeking a contractor to provide undercover or clandestine review and inspection services to support the efforts of the drug and alcohol testing programs of our regulated employers and the FTA drug & alcohol audit program.  There are several review techniques including announced, unannounced, and clandestine with reveal/out brief and without reveal/out brief.  The various techniques may be combined in order to give a true picture of collection compliance at the particular vendor site.  The various techniques will require widely varying levels of effort.",541611,,,Follow-on action,3rd QTR,,TSO
1675,DOT,"VOLPE - Volpe, The National Transportation Systems Center",,Contract Specialist Support Services,"The Volpe Center Office of Acquisitions has a requirement for a wide range of professional acquisitions and contract specialist support services in the areas of pre-award and contract management and administration activities including, but not limited to, the issuance of contract and task order awards, Government Purchase Card (GPC) file audits, and contract closeout file preparation and referral.",541611,$2 million to $5 million,,Small Business Set-Aside,3rd QTR,,V2202049
1700,DOT,FTA - Washington DC Office,,,"Civil Rights Compliance Reviews:  FTA is seeking contract support services to conduct compliance reviews for Title VI, EEO, Disadvantaged Business Enterprises (DBE) Programs/DBE Unified Certification Programs (TED) and prepare in-depth corresponding reports detailing areas where the recipients have conformed or are noncompliant with DOT regulations and/or FTA guidance.  The compliance reviews shall involve elements of operations, oversight, and policy/practice review and analysis",541611,,,Small Business Set-Aside,3rd QTR,,0006
1717,DOT,"VOLPE - Volpe, The National Transportation Systems Center",,,"Provide onsite support for migrating current FMCSA web-based systems to the .NET technology platform and developing an Enforcement module for the National Consumer Complaint Database (NCCDB) system. NCCDB is a system for filing and logging consumer complaints relating to household goods motor carriers, passenger carriers (motor coach and bus), and hazardous material & cargo tank violations. Technical expertise is required to migrate this system to the new technology platform (.NET). The contractor shall also support the FMCSA’s Safety Measurement System by supporting the running, validating and disseminating of SMS results as well as designing and developing new systems to enhance and improve the format and utility of safety data.  The estimated cost for the 18 month contract is approximately $908,000. The contractor will provide technical services onsite and offsite and will be managed by the Volpe Program Managers.",541511,,,8(a) non-competitive,3rd QTR,,V3131002
1742,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,IT Financial Support Services.,541611,"$700,000 to $2 million",,Full and Open,3rd QTR,,2020-225
1779,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,INFRA Program Support Services,Support services for the INFRA discretionary grant program.,541611,"$250,000 to $700,000","Leidos, DTFH6116D00053/693JJ318F000407",Full and Open,3rd QTR,,2022-084
1875,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"Intelligent Transportation Systems (ITS) National Architecture development, evolution and deployment support. Technical services including managing the National ITS Architecture, maintaining all related databases and software tools, and conducting technical analyses to recommend changes to the architecture to advance with technological evolution and make available required architecture capabilities in support of large scale, interoperable infrastructure ITS, connected vehicle and automated vehicle deployment. Support field deployments of ITS architectures and development of required regional ITS architectures. Support ITS standards development and specification to across entire architecture. Support internationally cooperative projects on topics of common interest. (Also see https://www.standards.its.dot.gov/LearnAboutStandards/NationalITSArchitecture.)",541618,,,To be determined,3rd QTR,,2016-001
1882,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,Railroad Credit Assessment and Portfolio Management System and Support for the Railroad Rehabilitation and Improvement Financing (RRIF) Program  ,541511,"$700,000 to $2 million",,Sole Source,3rd QTR,,2020-254
1893,DOT,OST - Washington DC Office,,,"Provide maintenance and support of the Department's Grants Information System (GIS), a respository for assistance award reporting.  GIS assists in the collection of financial information, generation of reports and verifiation of the accuracy of the uploaded reports.",541611,,,Small Business Set-Aside,3rd QTR,,OST 001 M-65
1894,DOT,,,,Railroad Rehabilitation & Improvement Financing (RRIF) Program - This is an IDIQ contract for multiple contractors to conduct independent financial analysis on RRIF loans.,541611,,,Full and Open,3rd QTR,,RPD12-001
1928,DOT,"FMCSA - Washington DC, Office",,Regulatory and Economic Policy Development Support,"FMCSA will seek regulatory and economic policy development support which shall include writing and editing documents supporting FMCSA policies, plans, and regulations.  These documents may include comment analyses and summaries and rules for publication in the Federal Register.  Support shall also include development of regulatory evaluations, including regulatory impact assessments, Regulatory Flexibility Act analyses, Unfunded Mandates Act analyses, Paperwork Reduction Act analyses (as applicable to the regulatory evaluation), and National Environmental Policy Act (NEPA) analyses, as applicable.",541611,"$700,000 to $2 million",The Regulatory Group Inc. - DTMC75-16-A-00001,Small Business Set-Aside,3rd QTR,,MC-P-001
1968,DOT,"VOLPE - Volpe, The National Transportation Systems Center",,,"The DOT Small Business Innovation Research (SBIR) program office has a need to obtain a contractor that is capable of providing Technical and Business Assistance (TABA) to SBIR Awardees. In accordance with the 2 May 19 SBIR Policy Directive, federal agencies that participate in the SBA’s SBIR program may enter into agreements with one or more vendors to provide TABA to SBIR Awardees. The purpose of TABA is to assist SBIR Awardees on SBIR projects with such things as making better technical decisions, solving technical problems that arise, minimizing technical risks, and commercializing the SBIR product/process being pursued.",541611,"$250,000 to $700,000",,Small Business Set-Aside,3rd QTR,,V330A2116
1971,DOT,"FRA - Office of Acquisition Management, RAD-30",,Manpower Assessment and Employee Engagement Support,"The agency is seeking independent review and refinement of this initial forecast, incorporating available industry benchmark data and best practices recommendations, including those for employee engagement on this topic.",541611,"$250,000 to $700,000",,Small Business Set-Aside,3rd QTR,,001
1996,DOT,"FRA - Office of Acquisition Management, RAD-30",,IIJA Implementation - Project Management Assistance,"Contract support is needed to assist FRA in implementing the programs and requirements included in the surface transportation reauthorization and supplemental infrastructure funding bill, the Infrastructure Investment and Jobs Act, expected to become law in September. As compared to the FAST Act, the IIJA provides significantly increased funding for FRA’s grant programs, approximately $19B each year over the next five years. The bill creates new funding vehicles and programs that invest in intercity passenger rail and freight rail infrastructure, which will require FRA to develop policies, management structures, internal tools, and guidance for potential grantees in order to deliver on this broad mandate. FRA’s implementation of these new programs and policies will require full-time project managers to track requirements and associated deadlines, coordinate among the various implementation working groups, prepare weekly reporting materials responsive to the Office of the Secretary and FRA leadership, and create other expected collateral as needed. FRA is currently executing the FY21 grant cycle, and will be implementing IIJA and its new requirements in parallel. Experienced project managers will be necessary in order to keep FRA’s implementation on track.  ",541611,"$250,000 to $700,000",,Service-Disabled Vet-Owned SB,3rd QTR,,003
1998,DOT,FTA - Washington DC Office,,,"This requirement wil provide support to assist FTA in ensuring that information provided for evaluation and rating of projects seeeking New and Small Starts funding is based on reliable information consistent with good planning practice and FTA guidance. This includes reviews of finanical plans, operating plans, capital and operating and maintenance cost estimate and the production of New Starts Assessments and Financial Capacity Assessments. We will provide approximately four teams.",541611,,,Full and Open,3rd QTR,,000105
2019,DOT,"FRA - Office of Acquisition Management, RAD-30",,MTAS for Non-FAST Act Grant projects projects,"Contractor will provide program management, and subject matter expertise to support FRA's execution of Monitoring and Technical Assistance for non-FAST Act  projects.",541611,"$250,000 to $700,000",,Full and Open,3rd QTR,,004
2024,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,Next Generation National Household Travel Survey Data Collection (national core and/or origin-destination data),541611,$10 million to $20 million,,Full and Open,3rd QTR,,2021-018
2057,DOT,,,,Microsoft Dynamics CRM Subscription and licensing cost; Contractor Implementation support; Equipment/IT Helpdesk Support; Maintenance; Federal Support - The Safety Law Division (Division) of the Federal Railroad Administrations (FRA) Office of Chief Counsel (RCC) annually assesses and collects several million dollars in civil penalties for violations of the railroad safety laws and regulations.  RES is an Intranet Web interface that uses Oracle version 11gR2 (or newer version as required) as the database management system and window shell application.,541511,,,Full and Open,3rd QTR,,RCC01-18-001
2079,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,Procurement of road weather-related data sets to support ongoing development test and evaluation of connected vehicle applications that address weather-related impacts to highway safety and mobility.,541990,,,To be determined,3rd QTR,,HOTO-1A
2082,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"Non-Personal, Professional Administrative and Human Resources Support Services for intermittent needs at various levels of human resources services and administrative support personnel",541611,,,Small Business Set-Aside,3rd QTR,,2019-225
2135,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,Establishing Pathway to Advancing Novel Data Analytics (PANDA) Initial Operating Capability,"The purpose of this activity is for the Contractor to support the FHWA in development of a plan to stand up the Pathway to Advancing Novel Data Analytics (PANDA), a new laboratory in the Turner-Fairbank Highway Research Center. The Contractor shall support the development of an Initial Operating Capability for PANDA to support FHWA in development, testing and application of novel analytics.",541990,"$250,000 to $700,000",,Small Business Set-Aside,3rd QTR,,2021-218
2180,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"To procure a portfolio of advanced, portable data acquisition systems to support and guide the USDOT’s Connected Vehicle Mobility Program, as it facilitates the development of software applications intended to transform intermodal mobility.",541990,,,Full and Open,3rd QTR,,HOIT-3
2204,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"The goal of this research project is to enhance FHWA’s empirical understanding of the impact of trends on travel behavior and transportation demand, and ultimately system performance and the user experience including the identification and analysis of trends to support a variety of modeling, forecasting, and ‘what if’ projections to support policy and decision making.",541611,$2 million to $5 million,,Full and Open,3rd QTR,,2021-221
2214,DOT,,,,"Financial advisory services in the surface transportation infrastructure finance area to support the activities of the Build America Bureau. Financial advisory services necessary include due diligence, credit analysis (project/public/corporate), financial structuring, negotiating, financial modeling, and preparing comprehensive credit reports. ",541611,,,Full and Open,3rd QTR,,61_2018-201
2234,DOT,FMCSA - District of Columbia,,,"The Office of Policy, Medical Programs Division, will seek a vendor to perform new and/or update previous research through conducting and analyzing scientific literature reviews, including meta-analysis. The purpose of the services is to provide evidence based research and rationale to update and/or revise selected physical qualification standards in the Federal Motor Carrier Safety Regulations for the medical certification of commercial motor vehicle drivers. The Contractor shall provide research services to FMCSA’s Medical Program’s Division to support current evidence concerning various rulemakings, guidance documents, and Agency decisions, concerning specific medical conditions and commercial motor vehicle driver safety. Applied Intellectwww.ap-in.comAjit.louis@ap-in.com Avar Consultingrhunt@avarconsulting.com301-977-6553Conceptual Mindworks, Inc.steve@teamcmi.comwww.conceptualmindworks.com210-737-0777Insight Policy Researchwww.insightpolicyresearch.com703-504-9480Longevity Consultingwww. longevityconsulting.comeric.thompson@longevityconsulting.com800-517-1925- ext 103mmartin@2mresearch.comwww. 2mresearch.com817-856-0860Knowledge AdvantageBel Leong-Hongbel@kaiglobal.comwww.kaiglobal.com301-948-1682Visionary Consulting Partners, LLC.www.vcp-llc.com504-754-6824",541990,TBD,,8(a) non-competitive,3rd QTR,,MC-P-20-01
2258,DOT,OST - Washington DC Office,,,"The GPRAMA, PMIAA, and Evidence Act Support Services provide the services of two independent, external performance specialists and one program evaluator to prepare and format for publishing: 1) the consolidated fiscal year 2022 DOT Annual Performance Plan/fiscal year 2020 DOT Annual Performance Report, and consolidated fiscal year 2023 DOT Annual Performance Plan/fiscal year 2021 DOT Annual Performance Report, including all required appendices (e.g., Data Completeness and Reliability appendix, Major Management Challenges appendix, etc.),, 2) the fiscal year 2021 DOT Strategic Review for OMB, 3) the DOT Evaluation Policy, 4) the DOT Interim and Final Draft Learning Agenda, 4) the DOT Interim and Final Draft Capacity Assessment, 5) the FY 2022 Annual Evaluation Plan and FY 2023 Annual Evaluation Plan, and 6) additional technical support to ensure DOT compliance with OMB Circular A-11, Part 6 and/or Departmental performance, evidence, and program management initiatives.

The incumbent contractor is E3 / Grant Thornton.",541219,"$700,000 to $2 million",,8(a) non-competitive,3rd QTR,,OST-B10-2021-01
2266,DOT,OST - Washington DC Office,,,"The Office of Aviation Analysis needs maintenance and applications support from a contractor that is knowledgeable/familiar with typical document storage and tracking systems (such as the former Documents Management System) and is capable of performing the following functions:  server build, server backups, server OST patches/updates, application middleware installation/configuration (e.g., ColdFusion, ASP.NET, Web sphere, Oracle application server), application middleware patch application, database backups, database patch application, application technical support, system accreditation, application install/configuration, customer interviews during analysis phase, customer demo of applications, and customer training sessions.",541611,,,Woman Owned Small Business,4th QTR,,OST_LIP_001
2389,DOT,FTA - Washington DC Office,,,"Civil Rights Compliance Reviews:  FTA is seeking contract support services to conduct compliance reviews for Title VI, EEO, Disadvantaged Business Enterprises (DBE) Programs/DBE Unified Certification Programs (TED) and prepare in-depth corresponding reports detailing areas where the recipients have conformed or are noncompliant with DOT regulations and/or FTA guidance.  The compliance reviews shall involve elements of operations, oversight, and policy/practice review and analysis.",541611,,,Full and Open,4th QTR,,TCR
2397,DOT,FTA - Washington DC Office,,,"Accounting and Financial Analysis: Financial Services BPA: Activities may include, but are not limited to: reconciliation and determination of the extent of improper payments for the FTA program funds;  assistance with mandates issued by the Department’s Chief Financial Officer for the development of procedures; support for the maintenance and validation of an accrual process to be combined with the preparation of the financial statements; budget formulation and execution; managerial cost accounting; analysis of business processes and practices to maximize efficiencies; analysis of Transit Formula Grants apportionment factors; conducting research and analysis of subsidiary transaction ledgers, general ledger accounts, and supporting grants management and data systems; provision of technical training; preparation of budget schedules and requests; development of multimedia presentations; and provision of program management for specific system development and improvement projects",541611,,,Small Business Set-Aside,4th QTR,,0005
2415,DOT,OST - Washington DC Office,,,"The Office of the Senior Procurement Executive requires an independent procurement management review of its processes and procedures from cradle to grave to ensure compliance with the Federal Acquisition Regulation and Transportation Acquisition Regulation, Transportation Acquisition Manual and other applicable policies or procedures.  The purpose of the review is to assess compliance with Federal and Departmental statutory requirements, policies and procedures; provide recommendations to DOT OAs on improving operational efficiency and effectiveness and provide OA contracting offices assistance with training and best practices for identified acquisition program weaknesses.",541611,,,8(a) Competitive,4th QTR,,
2453,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,New National Performance Management Research Data Set (NPMRDS),New National Performance Management Research Data Set (NPMRDS). Acquire access to a data set of average travel times on the National Highway System for use by US DOT and State DOTs and Metropolitan Planning Organizations (MPOs). 1 Base year plus 4 one year options.,541611,$5 million to $10 million,,Full and Open,4th QTR,,2021-205
2464,DOT,FTA - Washington DC Office,,,"Professional Program and Administrative Services Agency-wide Blanket Purchase Order for professional services and administrative BPA to facilitate professional contractor support in major program offices.  Examples of labor categories sought (not all inclusive) are:  Program Manager, Acquisition/Contract Managers, Procurement Analyst and Technician, Closeout Specialist, Research Analyst, Program Assistant, Executive/Administrative Secretary and Data Analyst, Technical Writer/Editors.",541611,,,8(a) Competitive,4th QTR,,TAD-40
2468,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"The objective of this effort is to operate an enterprise EPMO structure for the ITS JPO research portfolio to maximize return on government research investments while simultaneously supporting the DOT strategic goals.  The EPMO shall operate within the ITS JPO of the DOT.   The EPMO Project Manager shall functionally report to the ITS JPO EPMO Program Manager, who will serve as the Contracting Officer’s Representative (COR).  Some EPMO staff will be physically located within the DOT headquarters building for close, day-to-day working interaction with the ITS JPO staff members.  The EPMO staff shall provide direct support to the ITS JPO Program Managers who are responsible for project execution and oversight.  The EPMO staff shall assist the ITS JPO Program Managers in collecting program and project data, oversight processes, and recommend improved oversight processes for COR approval.  The EPMO shall be responsible for implementing a COR-approved oversight methodology and structure consistent with the requirements of this PWS to accomplish the goals and objectives of the ITS Program.",541611,$5 million to $10 million,,Full and Open,4th QTR,,2020-249
2476,DOT,OST - Washington DC Office,,,"Support for data visualization and dissemination for statistical compilations and dashboards - to provide data ingestion, management, analytics, cleansing to produce visualizations.

This requirement is anticipated to be solicited through DOT OCIO's Software Engineering Support (SWES) BPA.",541511,$2 million to $5 million,,To be determined,4th QTR,,OST-RTS34-2021-01
2501,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"To carry out the National Household Travel Survey (NHTS) data collection program through collecting, weighting, and other processing of data on why, how, and when we travel and other parameters.",541990,,,Full and Open,4th QTR,,HPPI - 2
2502,DOT,FTA - Washington DC Office,,,"Continuity of Operations Planning (COOP) FTA is seeking a contractor to assist with developing a Continuity of Operations Plan (COOP) that ensures the continuation of the agency’s essential functions at the outset of a major crisis and at least up to 30 days in the aftermath while providing the highest possible level of safety and security for headquarters and regional personnel.  The focus of COOP is on developing and implementing standards, criteria, plans and procedures for headquarters and regional personnel.",541611,,,8(a) Competitive,4th QTR,,TSO
2568,DOT,FHWA - Western Federal Lands Highway Division,,,Mobile Data Collection Tool and Cloud Migration for the Geocortex Essentials for ESRI’s ArcGIS platform,541511,"$250,000 to $700,000",,Sole Source,4th QTR,,wfl-290
2652,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"The contractor shall provide the ability for recipients to submit design-build project reports; develop a DBE goal 
methodology tool; development of additional DBE reports; add file upload page for state Title VI Plans; additional data
 points for the Title VI Goals and Accomplishments page and to comply with FHWA IT standards. The contractor shall
 provide the following tasks: Task 1 – Baseline/Administration Module and on-going maintenance; Task 2 – DBE 
Module; Task 3 – 1392 Module; Task 4 – Title Iv Module; Task 5 – ADA Module; Task 6 – Supportive Services 
Module; Task 7 – DBE Goal Setting Module; Task 8 – Uniform Report Modification; Task 9 – Additional Reports (50 
hours); Task 10 – 3 User Guides – HCR staff, Division staff and Recipient staff; Task 11 – Facilitate security scanning
 of system; Task 12 – FISMA Security Audit; Task 13 – Domain change to .gov (includes system adjustment
 to support new domain); and Task 14 – Move to FHWA/DOT segment on Amazon AWS (includes system
adjustments to support new location)",541611,,,Small Business Set-Aside,4th QTR,,2019-255
2677,DOT,"VOLPE - Volpe, The National Transportation Systems Center",,,"The Volpe Center’s focus is on research and innovation in all areas of transportation to improve the U.S. transportation system for the future.  The Volpe Center is seeking contractual support to address the needs of the future aviation system.  The contractors selected will constitute an important part of Volpe Center’s resources, and will provide capabilities and skills targeted to the Volpe Center’s programmatic requirements in the area of Business Management.  The Volpe Center’s support activites fall primarily in the area of transportation infrastructure -- the foundation of facilities, equipment, and related services needed for the safe and secure movement of goods and people.  The contractor must possess skills in business management as they relate to strategic planning, management development and risk management.  The primary skill requirements for this contract may include, but are not limited to:  program management, business management, risk management, an leadership development and consulting.",541611,,,Small Business Set-Aside,4th QTR,,V340A1017
2679,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"The Federal Highway Administration’s (FHWA) Human Resource Management Committee (HRMC) has a need for contractor support to develop and administer a statistically-sound web-based survey instrument and provide analysis that allows FHWA to report data and develop strategies from the biennial All Employee Survey (AES) and Federal Employee Viewpoint Survey (FEVS), administered by the U.S. Office of Personnel Management (OPM). The AES is administered biennially and has 40 to 50 multiple choice statements and five to seven ""hot topic"" statements. ",541611,,,Small Business Set-Aside,4th QTR,,2018-212
2687,DOT,"PHMSA - Washington, DC (Headquarters)",,,"PROCUREMENT FORECAST, ATTACHMENTThe Pipeline and Hazardous Materials Safety Administration (PHMSA), Office of Pipeline Safety, seeks the services of a contractor to gather and update drinking water (DW) USA geospatial data for all 50 states. The contractor will be responsible for identifying and collecting all necessary data to be used in producing final DW USA data.With this data, PHMSA will leverage its National Pipeline Mapping System Repository (NPMS) to offer drinking water (DW) USA data to hazardous liquid pipeline operators around the country.  Those operators will ultimately use this data to develop integrity management plans. PHMSA may assist the contractor by working with other national, federal, or state entities to acquire base data for the project.**This procurement will be set aside for only women-owned small businesses who are General Services Administration (GSA) Federal Supply Schedule (FSS) holders under 00CORP (The Professional Services Schedule (PSS)).  The applicable NAICS CODE is 541990 – All Other Professional, Scientific, and Technical Services.",541990,,,Small Business Set-Aside,4th QTR,,
2726,DOT,FTA - Washington DC Office,,,"Title VI, EEO and DBE Compliance Reviews Oversight responsibilities by conducting compliance reviews of FTA funding recipients and sub recipients. FTA plans on conducting Title VI, EEO and DBE reviews. Compliance reviews shall be limited to the grantees compliance with Title VI, EEO and DBE.",541611,,,Full and Open,4th QTR,,00104
2736,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"This procurement effort will enable the Department of Transportation (DOT) Chief Information Officer (CIO) to use the Varonis Software Support to
protect critical DOT data. This subscription provides the CIO with the ability to protect DOT sensitive data and audit file activity.

The required delivery date of this task order is 1 year from date of award, 9/30/2019 through 9/29/2020.",541511,"$700,000 to $2 million",,Small Business Set-Aside,4th QTR,,2019-270
2742,DOT,OST - Washington DC Office,,,"Firm fixed price call for an Transportation Research Analyst II who will serve as the technical expert on written and editorial policy matters while working in a fast-paced, deadline driven organization.  Collectively, the contractor will undertake, implement, and report on international transportation policy assignments which will support the research and analytic requirements of the office to advance the Department's international policy agenda in a wide range of geographic and modal subject areas.",541611,,,Small Business Set-Aside,4th QTR,,OST_X20_001
2770,DOT,OST - Washington DC Office,,,"The scope of work for this effort includes an Accountant as designated government standards for position in this occupation.  In this regard the position would serve as a financial analyst in a resource management organization where the accounting, reconciliation, forecasting, budget analysis, and communication of monetary findings are critical for the Office of the Under Secretary for Policy. ",541611,,,Small Business Set-Aside,4th QTR,,OST_S36_001
2798,DOT,FTA - Washington DC Office,,,"Financial Management Systems Support The Financial Management System (FMS) is a mission-critical financial system within FTA. The FMS consists of an Oracle relational database and funds control system. The FMS platform consists of three (3) servers (production, test, and contingency operations- COOP); and one web application. The FMS is used as a control for monitoring, receiving and retrieving files to and from the Department of Transportation’s accounting system (Delphi); to and from FTA’s grant program management system, the Transportation Electronic Award and Management System (TEAM); to and from FTA’s grant payment/drawdown request system, the on-line Electronic Clearing House Operation (ECHO-Web); and prepares payment files to send to Treasury. These systems form the core of the financial processes that support FTA’s mission to provide Federal financial assistance to America’s communities for the planning, development and improvement of public transportation systems.",541511,,,To be determined,4th QTR,,000106
2822,DOT,FTA - Washington DC Office,,,"The Moving Ahead for Progress in the 21st Century (MAP-21) stipulates that the Secretary of Transportation must make a number of determinations before a grant or loan can be made for the construction of any project seeking Section 5309 New Starts funds. These determinations require that the planning process generate credible information on project costs, ridership, financing, and environmental impacts. 49 U.S.C. Chapter 53 Section 5309 contains criteria for determining whether New Start projects are eligible for funding. The Office of Planning and Environment (TPE) assesses New Starts projects to verify that requirements for eligibility for New Starts funding have been met. TPE assesses individual projects to insure that: a) the project meets the New Starts project justification criteria; b) the project is supported by an acceptable degree of local financial commitment, including evidence of stable and dependable funding sources to construct, maintain, and operate the current system and proposed new service; and, c) that any proposed project considered for Section 5309 New Starts funds has meet all requirements for National Environmental Protection Act (NEPA) processes and environmental documentation and that impacts are properly assessed, documented, and mitigated. FTA uses this information to recommend Section 5309 New Starts funds for the projects with the greatest merit. The purpose of this procurement is to obtain contractor support to conduct detailed Financial Capacity Assessments (FCAs) and Financial Assessments (FA) for projects seeking Section 5309 New Starts and Small Starts funds. FCAs and FAs entail a review of the financial condition and capacity of the sponsoring agency considering a New Starts investment, and the level and stability of local financial commitment towards the project. The FCA and FA also considers the grantee’s system-wide financial capacity, assessing future operations and infrastructure maintenance needs, as well as requirements to replace capital assets on a regular basis. For all tasks, the contractor shall assist FTA in providing transit finance technical assistance to the project sponsor with regards to identified deficiencies and provide the associated procedural guidance.",541611,,,Full and Open,4th QTR,,000107
2857,DOT,OST - Washington DC Office,,,"This contract is set to acquire senior analytical support for SCASDP grant evaluations and grant administration, as well as to acquire senior database development and management support.  Senior analysts will develop orders, manuals, technical documents, and other ad-hoc documents as needs arise.  The database developer will maintain existing databases and improve upon or design new infrastructure as needed.  All efforts support the Office of Aviation Analysis administer the SCASD Program, issue grant awards to the public, and meet the needs of Departmental decision makers and oversight agencies.",541611,,,Small Business Set-Aside,4th QTR,,OST_X50_001
2879,DOT,OST - Washington DC Office,,,"This contract requires Advisory and Assistance services to be provided which shall include conducting studies and analysis to assist in the formulation of international policies, developing position and background papers for use by senior officials, and monitoring and coordinating program implementation among agencies and industry organizations to resolve international transportation issues.  Project staff shall be assigned to handle some of the myriad Presidential and Administration initiatives and short notice / quick turnaround issues to support directly or indirectly the needs of the Secretary and other projects.",541611,,,Small Business Set-Aside,4th QTR,,OST_X20_003
2914,DOT,FHWA - Western Federal Lands Highway Division,,,On-site Finance Support Services,541219,"$700,000 to $2 million",,To be determined,4th QTR,,WFL-287
2937,DOT,OST - Washington DC Office,,,"Financial statistics analysis of government spending on transportation to reevaluate and update current methodology for collecting and reporting transportation financial statistics.

This requirement is anticipated to be solicited through DOT BTS's Analytical Support Services IDIQ.",541611,"$250,000 to $700,000",,Small Business Set-Aside,TBD,,OST-RTS31-2021-01
2962,DOT,"FMCSA - Washington DC, Office",,,Financial analysis support services.,541611,,,To be determined,TBD,,MC-B-01
2966,DOT,FMCSA - District of Columbia,,Professional Performance Service for Human Resources,"This requirement provides administrative , grant services, human resources, HR System Services, and financial customer services.",541611,"$700,000 to $2 million",,8(a) Competitive,TBD,,MC-2022-004
11,DHS,CBP/OIT,VA,,"CBP requires an industry partner who is authorized to provide access to current and future compute levels/cloud providers across IaaS, PaaS, SaaS, and any additional “as a service” offerings that may become available in the future that CBP may need to take advantage of as technology rapid progresses. These “as a service” solutions would allow for building digital solutions based on micro services, implementing Application Program Interface (API) based modern web frameworks, building solutions that are extensible to mobile and forward-looking industry paradigms, building consistent, standard, reliable and portable environments in the cloud, defining container strategies, managing data, supporting 24/7 operations, maintaining high reliability and availability, integrated tagging, tracking and reporting across multi Cloud and hybrid operational models, while also ensuring integration into existing onPrem/Private cloud operations as well. 
 
 The objective is for the industry partner to acquire and manage all cloud-computing services directly from commercial cloud service providers with established records for innovation and operational excellence in cloud service and can handle CBPs 24/7 operations and millions upon millions of transactions daily which support the legal and safe trade and travel for the United States. This will enable the CBP to modernize and innovate the way software and data are built, deployed and managed within CBP’s current capability and as future offerings become available. CBP needs to enable quick, reliable, secure, and consistent delivery of modernized digital solutions.
 
 Acquisition Strategy: Objective 1 (Multiple Award BPA) will be set aside for small business. Objectives 2 and 3 (Single Award BPA) will be unrestricted/full and open.",541511,Over $100M,,None,12/03/2021,"GSA Schedule (BPA, DO/TO, PO)",F2020049371
54,DHS,TSA,VA,,"TSA Requirements & Capabilities Analysis is in need of a contractor to provide Engineering and   Program Management Case Study Support Services.  To support this mission, RCA conducts a structured, repeatable and transparent process that strengthens TSA’s ability to establish enterprise level capability gaps.  Additionally, RCA conducts analysis activities to determine optimal courses of action for addressing the capability gaps.  
 The required support services are grouped into two (2) main processes, as indicated below:
 1) Mission Essential Capabilities Process: Designed to be an annual process to improve
 institutional knowledge, while remaining dynamic enough to account for changes to TSA’s
 mission.
 2) Case Study Process: Designed to be a deep dive into a specific capability need, or set of related capability needs, to fully identify the capability gap(s) and provide recommended courses of action to help close the capability gap(s).",541611,$20M to $50M,TSTC,TBD,04/15/2022,"GSA Schedule (BPA, DO/TO, PO)",F2021052978
